log,encoding,accuracy,accuracy_balanced,f1_binary,f1_micro,f1_macro,f1_weighted,precision_binary,precision_micro,precision_macro,precision_weighted,recall_binary,recall_micro,recall_macro,recall_weighted,time,mem_rf,mem_encoding,mem_labels,mem_total
scenario3_1000_early_0.1,tfidfvectorizer,0.9006666666666667,0.5000702933185694,0.9476020141690228,0.9006666666666667,0.48033249846894394,0.8604929766617179,0.906656476795386,0.9006666666666667,0.48249490506435955,0.8277592179697546,0.9926532128997653,0.9006666666666667,0.5000702933185694,0.9006666666666667,0.29418772061665854,69626.26666666666,2137514.6666666665,8165.0,2215305.933333333
scenario3_1000_early_0.1,tokenreplay,0.9128333333333335,0.514134557654547,0.954235489697462,0.9128333333333335,0.5034777546646231,0.8734903438726983,0.9126186318799386,0.9128333333333335,0.6729759826066356,0.8703882143884402,1.0,0.9128333333333335,0.514134557654547,0.9128333333333335,0.2515480836232503,69616.13333333333,216136.0,8165.0,293917.13333333336
scenario3_1000_early_0.1,word2vec,0.9025000000000002,0.5014599120194411,0.9486247810190368,0.9025000000000002,0.482283707691362,0.8621805404867582,0.9074220615865444,0.9025000000000002,0.48982214190438333,0.8301118471797914,0.9939467172523078,0.9025000000000002,0.5014599120194411,0.9025000000000002,0.34078958034515383,69581.6,3289320.533333333,8165.0,3367067.1333333333
scenario3_1000_early_0.2,alignment,0.7338333333333332,0.5358492182274214,0.8391549661424437,0.7338333333333332,0.5311260961064005,0.6980386087411159,0.7848344908122485,0.7338333333333332,0.5619765974233238,0.6838982234836368,0.9023912256765424,0.7338333333333332,0.5358492182274214,0.7338333333333332,0.27874187628428143,69615.46666666666,256091.73333333334,8165.0,333872.2
scenario3_1000_early_0.2,countvectorizer,0.764,0.4883182487941674,0.8656858815621541,0.764,0.4421162268910577,0.6871475035155445,0.7851234827294392,0.764,0.4221252334282118,0.6322735974526627,0.9652135727794703,0.764,0.4883182487941674,0.764,0.2662697235743205,69618.93333333333,2137166.933333333,8165.0,2214950.8666666667
scenario3_1000_early_0.2,fasttext,0.7583333333333333,0.4871595899993553,0.861957088244296,0.7583333333333334,0.4398919566113763,0.6806219953114545,0.7803861408747181,0.7583333333333333,0.4162139939582827,0.6241922626709477,0.9633722345006817,0.7583333333333333,0.4871595899993553,0.7583333333333333,0.3100519021352132,69622.13333333333,1689045.3333333333,8165.0,1766832.4666666666
scenario3_1000_early_0.2,hashvectorizer,0.7583333333333331,0.4928518423463313,0.8619392529819908,0.7583333333333331,0.44015701987491856,0.673066727127612,0.7733082322598317,0.7583333333333331,0.42366781049655144,0.6171373800495926,0.9746669407791592,0.7583333333333331,0.4928518423463313,0.7583333333333331,0.2814940532048543,69617.6,4183922.1333333333,8165.0,4261704.733333333
scenario3_1000_early_0.2,node2vec,0.7615000000000001,0.4900633020395261,0.8638976682889535,0.7615000000000001,0.4404665210215103,0.6805540932380658,0.7794985018640279,0.7615000000000001,0.4186651960979592,0.623478991294546,0.9698056310359929,0.7615000000000001,0.4900633020395261,0.7615000000000001,0.3653274059295654,69606.13333333333,4185150.933333333,8165.0,4262922.066666666
scenario3_1000_early_0.2,node2vecedges,0.8095000000000001,0.5913482714388039,0.8890866532202162,0.8095000000000001,0.599933452457098,0.759152442530562,0.807635375753571,0.8095000000000001,0.8269958903932234,0.8193220828267148,0.9895672307030421,0.8095000000000001,0.5913482714388039,0.8095000000000001,0.4630622863769531,69618.13333333333,4184701.8666666667,8165.0,4262485.0
scenario3_1000_early_0.2,onehot,0.7571666666666664,0.4900629696539415,0.8611779293094958,0.7571666666666664,0.43719850167080015,0.6725006359452195,0.7734181416776544,0.7571666666666664,0.4104662858460423,0.612125972828178,0.9723179650501824,0.7571666666666664,0.4900629696539415,0.7571666666666664,0.26611022154490155,69618.8,2136076.8,8165.0,2213860.6
scenario3_1000_early_0.2,tfidfvectorizer,0.7525000000000001,0.4876716051058445,0.8578559191716948,0.7525000000000001,0.4413787707572468,0.6756721003087933,0.7763557393010428,0.7525000000000001,0.42159577527430936,0.6216702888757063,0.959513900679376,0.7525000000000001,0.4876716051058445,0.7525000000000001,0.2890523831049601,69619.46666666666,2137475.2,8165.0,2215259.6666666665
scenario3_1000_early_0.2,tokenreplay,0.8066666666666668,0.5561593736899344,0.8898121663767447,0.8066666666666668,0.5436615510086534,0.7394193385759587,0.8018425686453219,0.8066666666666668,0.900921284322661,0.845591468485026,1.0,0.8066666666666668,0.5561593736899344,0.8066666666666668,0.24774750073750815,69622.93333333333,216136.0,8165.0,293923.93333333335
scenario3_1000_early_0.2,word2vec,0.7563333333333333,0.48691869983416536,0.8607553636369699,0.7563333333333333,0.4378781555698287,0.6767604824298897,0.7776376276125142,0.7563333333333333,0.419267531754975,0.6223065354134509,0.9649359671006983,0.7563333333333333,0.48691869983416536,0.7563333333333333,0.35589773654937745,69586.93333333333,3289086.933333333,8165.0,3366838.8666666667
scenario3_1000_early_0.05,alignment,0.95,0.5839445276744023,0.9740900213998335,0.95,0.6112795558245545,0.9372793810478484,0.9572978205857597,0.95,0.7333314499754197,0.935350290087171,0.9915705590303082,0.95,0.5839445276744023,0.95,0.2623593250910441,69612.13333333333,256097.06666666668,8165.0,333874.2
scenario3_1000_early_0.05,countvectorizer,0.9491666666666666,0.49973821989528794,0.9738888952762796,0.9491666666666666,0.4869444476381398,0.9249289741395273,0.9496438240270727,0.9491666666666666,0.47482191201353635,0.9019598519458546,0.9994764397905759,0.9491666666666666,0.49973821989528794,0.9491666666666666,0.25883779525756834,69618.0,2137228.8,8165.0,2215011.8
scenario3_1000_early_0.05,fasttext,0.9544999999999999,0.5,0.9766827781790852,0.9544999999999999,0.4883413890895426,0.9323172218209147,0.9544999999999999,0.9544999999999999,0.47724999999999995,0.9112108333333335,1.0,0.9544999999999999,0.5,0.9544999999999999,0.2857940753300985,69614.93333333333,1689048.5333333334,8165.0,1766828.4666666666
scenario3_1000_early_0.05,hashvectorizer,0.9520000000000002,0.5,0.9753584164604714,0.9520000000000002,0.4876792082302357,0.9286415835395286,0.9520000000000002,0.9520000000000002,0.4760000000000001,0.9064950000000002,1.0,0.9520000000000002,0.5,0.9520000000000002,0.28245819409688316,69620.93333333333,4184966.4,8165.0,4262752.333333333
scenario3_1000_early_0.05,node2vec,0.9528333333333331,0.4994690232278885,0.9757790737075772,0.9528333333333331,0.4878895368537886,0.930848617937556,0.9537739984882839,0.9528333333333331,0.47688699924414196,0.9099549659863947,0.998938046455777,0.9528333333333331,0.4994690232278885,0.9528333333333331,0.3112335999806722,69613.46666666666,4185008.0,8165.0,4262786.466666667
scenario3_1000_early_0.05,node2vecedges,0.9581666666666665,0.5967996219153185,0.9783834511717262,0.9581666666666665,0.6373935902647098,0.9451214528371696,0.960191791954773,0.9581666666666665,0.8418419277234181,0.9496943240816135,0.9973658938472874,0.9581666666666665,0.5967996219153185,0.9581666666666665,0.39491763909657795,69617.33333333333,4184516.2666666666,8165.0,4262298.6
